Type Ligne,Identifiant de l'élément,Structure,Type de l'élément,Statut de l'élément,Nom base français,Nom base anglais,Nom attribut français,Nom attribut anglais,Nom frontière français,Nom frontière anglais,Code de la catégorie,Tags français,Tags anglais,Unité français,Unité anglais,Contributeur,Autres Contributeurs,Programme,Url du programme,Source,Localisation géographique,Date de création,Date de modification,Période de validité,Incertitude,Transparence,Qualité,Qualité TeR,Qualité GR,Qualité TiR,Qualité C,Qualité P,Qualité M,Commentaire français,Commentaire anglais,Total poste non décomposé
Elément,41054,élément non décomposé,Facteur d'émission,Valide générique,"""""""Céréales pour petit déjeuner """"""""équilibre"""""""" aux fruits (non enrichies en vitamines et minéraux",Breakfast cereals,,diet,,"with fruits, not fortified","Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits","céréales de petit-déjeuner et biscuits,""""""Agribalyse,Céréales pour petit déjeuner """"""""équilibre"""""""" aux fruits (non enrichies en vitamines et minéraux)""""""","Agribalyse,Breakfast cereals,céréales de petit-déjeuner et biscuits",kgCO2e/kg de poids net,kgCO2e/kg net weight,,,AGRIBALYSE 3.1,https://agribalyse.ademe.fr/app,Agribalyse 3.1,France continentale,2023-03-16,2024-05-17,24/02/2026,,5.0,4.0,4.0,,,,,,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,3.56
Elément,41055,élément non décomposé,Facteur d'émission,Valide générique,"""""""Céréales pour petit déjeuner """"""""équilibre"""""""" aux fruits secs (à coque)""""""",Breakfast cereals,enrichis en vitamines et minéraux,diet,,"with dried fruits, fortified with vitamins and chemical elements","Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits","céréales de petit-déjeuner et biscuits,""""""Agribalyse,Céréales pour petit déjeuner """"""""équilibre"""""""" aux fruits secs (à coque)""""""","Agribalyse,Breakfast cereals,céréales de petit-déjeuner et biscuits",kgCO2e/kg de poids net,kgCO2e/kg net weight,,,AGRIBALYSE 3.1,https://agribalyse.ademe.fr/app,Agribalyse 3.1,France continentale,2023-03-16,2024-05-17,24/02/2026,,5.0,4.0,4.0,,,,,,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,3.56
Elément,41056,élément non décomposé,Facteur d'émission,Valide générique,"""""""Céréales pour petit déjeuner """"""""équilibre"""""""" aux fruits""""""",Breakfast cereals,enrichies en vitamines et minéraux,diet,,"with fruits, fortified with vitamins and chemical elements","Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits","céréales de petit-déjeuner et biscuits,""""""Agribalyse,Céréales pour petit déjeuner """"""""équilibre"""""""" aux fruits""""""","Agribalyse,Breakfast cereals,céréales de petit-déjeuner et biscuits",kgCO2e/kg de poids net,kgCO2e/kg net weight,,,AGRIBALYSE 3.1,https://agribalyse.ademe.fr/app,Agribalyse 3.1,France continentale,2023-03-16,2024-05-17,24/02/2026,,5.0,4.0,4.0,,,,,,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,3.56
Elément,41057,élément non décomposé,Facteur d'émission,Valide générique,"""""""Céréales pour petit déjeuner """"""""équilibre"""""""" nature (non enrichies en vitamines et minéraux)""""""",Breakfast cereals,,diet,,"plain, not fortified","Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits","céréales de petit-déjeuner et biscuits,""""""Agribalyse,Céréales pour petit déjeuner """"""""équilibre"""""""" nature (non enrichies en vitamines et minéraux)""""""","Agribalyse,Breakfast cereals,céréales de petit-déjeuner et biscuits",kgCO2e/kg de poids net,kgCO2e/kg net weight,,,AGRIBALYSE 3.1,https://agribalyse.ademe.fr/app,Agribalyse 3.1,France continentale,2023-03-16,2024-05-17,24/02/2026,,5.0,4.0,4.0,,,,,,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,3.56
Elément,41058,élément non décomposé,Facteur d'émission,Valide générique,"""""""Céréales pour petit déjeuner """"""""équilibre"""""""" nature ou au miel""""""",Breakfast cereals,enrichies en vitamines et minéraux,diet,,"plain or with honey, fortified with vitamins and chemical elements","Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits","céréales de petit-déjeuner et biscuits,""""""Agribalyse,Céréales pour petit déjeuner """"""""équilibre"""""""" nature ou au miel""""""","Agribalyse,Breakfast cereals,céréales de petit-déjeuner et biscuits",kgCO2e/kg de poids net,kgCO2e/kg net weight,,,AGRIBALYSE 3.1,https://agribalyse.ademe.fr/app,Agribalyse 3.1,France continentale,2023-03-16,2024-05-17,24/02/2026,,5.0,4.0,4.0,,,,,,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,3.56
Elément,32682,élément non décomposé,Facteur d'émission,Archivé,"""""""Goûter sec fourré (""""""""sandwiché"""""""") parfum chocolat""""""",Biscuit (cookie),,snack w chocolate filling,,,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits","produits céréaliers,""Agribalyse,biscuits sucrés"""",""""Goûter sec fourré (""""""""sandwiché"""""""") parfum chocolat""","Agribalyse,cereals products,sweet cookies,Biscuit (cookie)",kgCO2e/kg de poids net,kgCO2e/kg (net weight),,,AGRIBALYSE,https://app.agribalyse.fr/,https://ecolab.gitbook.io/documentation-agribalyse/,France continentale,2021-03-04,2024-05-17,31/12/2023,,5.0,,4.0,,,,,,,,7.55
Elément,41167,élément non décomposé,Facteur d'émission,Valide générique,"""""""Goûter sec fourré (""""""""sandwiché"""""""") parfum chocolat""""""",Biscuit (cookie),,snack w chocolate filling,,,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits","céréales de petit-déjeuner et biscuits,""""""Agribalyse,Goûter sec fourré (""""""""sandwiché"""""""") parfum chocolat""""""","Agribalyse,Biscuit (cookie),céréales de petit-déjeuner et biscuits",kgCO2e/kg de poids net,kgCO2e/kg net weight,,,AGRIBALYSE 3.1,https://agribalyse.ademe.fr/app,Agribalyse 3.1,France continentale,2023-03-16,2024-05-17,24/02/2026,,5.0,2.4,4.0,,,,,,Livraison : Ambiant (long) - Matériau d'emballage : Carton - Préparation : Pas de préparation,Livraison : Ambiant (long) - Matériau d'emballage : Carton - Préparation : Pas de préparation,5.92
Elément,32683,élément non décomposé,Facteur d'émission,Archivé,"""""""Goûter sec fourré (""""""""sandwiché"""""""") parfum fruits""""""",Biscuit (cookie),,snack with fruits filling,,,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits","produits céréaliers,""Agribalyse,biscuits sucrés"""",""""Goûter sec fourré (""""""""sandwiché"""""""") parfum fruits""","Agribalyse,cereals products,sweet cookies,Biscuit (cookie)",kgCO2e/kg de poids net,kgCO2e/kg (net weight),,,AGRIBALYSE,https://app.agribalyse.fr/,https://ecolab.gitbook.io/documentation-agribalyse/,France continentale,2021-03-04,2024-05-17,31/12/2023,,5.0,,4.0,,,,,,,,3.4
Elément,41168,élément non décomposé,Facteur d'émission,Valide générique,"""""""Goûter sec fourré (""""""""sandwiché"""""""") parfum fruits""""""",Biscuit (cookie),,snack with fruits filling,,,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits","céréales de petit-déjeuner et biscuits,""""""Agribalyse,Goûter sec fourré (""""""""sandwiché"""""""") parfum fruits""""""","Agribalyse,Biscuit (cookie),céréales de petit-déjeuner et biscuits",kgCO2e/kg de poids net,kgCO2e/kg net weight,,,AGRIBALYSE 3.1,https://agribalyse.ademe.fr/app,Agribalyse 3.1,France continentale,2023-03-16,2024-05-17,24/02/2026,,5.0,2.5,4.0,,,,,,Livraison : Ambiant (long) - Matériau d'emballage : Carton - Préparation : Pas de préparation,Livraison : Ambiant (long) - Matériau d'emballage : Carton - Préparation : Pas de préparation,2.29
Elément,32681,élément non décomposé,Facteur d'émission,Archivé,"""""""Goûter sec fourré (""""""""sandwiché"""""""") parfum lait ou vanille""""""",Biscuit (cookie),,snack with dairy or vanilla filling,,,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits","produits céréaliers,""Agribalyse,""""Goûter sec fourré (""""""""sandwiché"""""""") parfum lait ou vanille,biscuits sucrés""""""","Agribalyse,cereals products,sweet cookies,Biscuit (cookie)",kgCO2e/kg de poids net,kgCO2e/kg (net weight),,,AGRIBALYSE,https://app.agribalyse.fr/,https://ecolab.gitbook.io/documentation-agribalyse/,France continentale,2021-03-04,2024-05-17,31/12/2023,,5.0,,4.0,,,,,,,,7.55
Elément,41169,élément non décomposé,Facteur d'émission,Valide générique,"""""""Goûter sec fourré (""""""""sandwiché"""""""") parfum lait ou vanille""""""",Biscuit (cookie),,snack with dairy or vanilla filling,,,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits","céréales de petit-déjeuner et biscuits,""""""Agribalyse,Goûter sec fourré (""""""""sandwiché"""""""") parfum lait ou vanille""""""","Agribalyse,Biscuit (cookie),céréales de petit-déjeuner et biscuits",kgCO2e/kg de poids net,kgCO2e/kg net weight,,,AGRIBALYSE 3.1,https://agribalyse.ademe.fr/app,Agribalyse 3.1,France continentale,2023-03-16,2024-05-17,24/02/2026,,5.0,2.4,4.0,,,,,,Livraison : Ambiant (long) - Matériau d'emballage : Carton - Préparation : Pas de préparation,Livraison : Ambiant (long) - Matériau d'emballage : Carton - Préparation : Pas de préparation,5.92
Elément,40414,élément non décomposé,Facteur d'émission,Valide générique,"""""""Haricot mungo germé ou pousse de """"""""soja""""""""""""""",Mung bean,appertisé,sprouted or soy spouts,égoutté,"canned, drained","Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Fruits, légumes, légumineuses et oléagineux > Légumes","""légumes,""""Agribalyse,Haricot mungo germé ou pousse de """"""""soja""""""""""""""","Agribalyse,légumes,Mung bean",kgCO2e/kg de poids net,kgCO2e/kg net weight,,,AGRIBALYSE 3.1,https://agribalyse.ademe.fr/app,Agribalyse 3.1,France continentale,2023-03-16,2024-05-17,24/02/2026,,5.0,2.8,4.0,,,,,,Livraison : Ambiant (long) - Matériau d'emballage : Acier - Préparation : Pas de préparation,Livraison : Ambiant (long) - Matériau d'emballage : Acier - Préparation : Pas de préparation,1.65
Elément,33358,élément non décomposé,Facteur d'émission,Archivé,"""""""Haricot mungo germé ou pousse de """"""""soja""""""""""""""",Mung bean,"appertisé, égoutté","sprouted or soy spouts, canned, drained",,,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Fruits, légumes, légumineuses et oléagineux > Légumes","""légumes cuits"""",""""Haricot mungo germé ou pousse de """"""""soja"""""""""",Agribalyse,fruits,légumes,légumineuses et oléagineux","cooked vegetables,Agribalyse,fruits,vegetables,legumes and oilseeds,Mung bean",kgCO2e/kg de poids net,kgCO2e/kg (net weight),,,AGRIBALYSE,https://app.agribalyse.fr/,https://ecolab.gitbook.io/documentation-agribalyse/,France continentale,2021-03-04,2024-05-17,31/12/2023,,5.0,,4.0,,,,,,,,1.9
Elément,33308,élément non décomposé,Facteur d'émission,Archivé,"""""""Haricot mungo germé ou pousse de """"""""soja""""""""""""""",Mung bean,cru,"sprouted or soy spouts, raw",,,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Fruits, légumes, légumineuses et oléagineux > Légumes","""Agribalyse,""""Haricot mungo germé ou pousse de """"""""soja"""""""",légumes crus"""""",fruits,légumes,légumineuses et oléagineux","Agribalyse,fruits,vegetables,legumes and oilseeds,raw vegetables,Mung bean",kgCO2e/kg de poids net,kgCO2e/kg (net weight),,,AGRIBALYSE,https://app.agribalyse.fr/,https://ecolab.gitbook.io/documentation-agribalyse/,France continentale,2021-03-04,2024-05-17,31/12/2023,,5.0,,4.0,,,,,,,,0.756
Elément,40415,élément non décomposé,Facteur d'émission,Valide générique,"""""""Haricot mungo germé ou pousse de """"""""soja""""""""""""""",Mung bean,cru,sprouted or soy spouts,,raw,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Fruits, légumes, légumineuses et oléagineux > Légumes","""légumes,""""Agribalyse,Haricot mungo germé ou pousse de """"""""soja""""""""""""""","Agribalyse,légumes,Mung bean",kgCO2e/kg de poids net,kgCO2e/kg net weight,,,AGRIBALYSE 3.1,https://agribalyse.ademe.fr/app,Agribalyse 3.1,France continentale,2023-03-16,2024-05-17,24/02/2026,,5.0,2.7,4.0,,,,,,Livraison : Ambiant (moyen) - Matériau d'emballage : Pas d'emballage - Préparation : Pas de préparation,Livraison : Ambiant (moyen) - Matériau d'emballage : Pas d'emballage - Préparation : Pas de préparation,0.771
Elément,40089,élément non décomposé,Facteur d'émission,Valide générique,"""""""Poêlée de légumes assaisonnés aux champignons (""""""""champêtre"""""""")""""""",Vegetables pan-fried with mushrooms (country-style),surgelée,frozen,,,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Entrées et plats composés > Plats composés","plats composés,""""""Agribalyse,Poêlée de légumes assaisonnés aux champignons (""""""""champêtre"""""""")""""""","Agribalyse,plats composés,Vegetables pan-fried with mushrooms (country-style)",kgCO2e/kg de poids net,kgCO2e/kg net weight,,,AGRIBALYSE 3.1,https://agribalyse.ademe.fr/app,Agribalyse 3.1,France continentale,2023-03-16,2024-05-17,24/02/2026,,5.0,3.2,4.0,,,,,,Livraison : Congelé - Matériau d'emballage : LDPE - Préparation : Micro-onde,Livraison : Congelé - Matériau d'emballage : LDPE - Préparation : Micro-onde,1.19
Elément,32989,élément non décomposé,Facteur d'émission,Archivé,Abondance,Abondance cheese,,from cow's milk,,,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Lait et produits laitiers > Fromages","Agribalyse,lait et produits laitiers,fromages à pâte pressée,Abondance","Agribalyse,milk and dairy products,pressed cheeses,Abondance cheese",kgCO2e/kg de poids net,kgCO2e/kg (net weight),,,AGRIBALYSE,https://app.agribalyse.fr/,https://ecolab.gitbook.io/documentation-agribalyse/,France continentale,2021-03-04,2024-05-17,31/12/2023,,5.0,,4.0,,,,,,,,6.27
Elément,40677,élément non décomposé,Facteur d'émission,Valide générique,Abondance,Abondance cheese,,from cow's milk,,,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Lait et produits laitiers > Fromages","Agribalyse,Abondance,fromages","Agribalyse,Abondance cheese,fromages",kgCO2e/kg de poids net,kgCO2e/kg net weight,,,AGRIBALYSE 3.1,https://agribalyse.ademe.fr/app,Agribalyse 3.1,France continentale,2023-03-16,2024-05-17,24/02/2026,,5.0,2.2,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : LDPE - Préparation : Pas de préparation,Livraison : Glacé - Matériau d'emballage : LDPE - Préparation : Pas de préparation,6.19
Elément,40230,élément non décomposé,Facteur d'émission,Valide générique,Abricot,Apricot,dénoyauté,pitted,cru,raw,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Fruits, légumes, légumineuses et oléagineux > Fruits","Agribalyse,fruits,Abricot","Agribalyse,fruits,Apricot",kgCO2e/kg de poids net,kgCO2e/kg net weight,,,AGRIBALYSE 3.1,https://agribalyse.ademe.fr/app,Agribalyse 3.1,France continentale,2023-03-16,2024-05-17,24/02/2026,,5.0,2.2,4.0,,,,,,Livraison : Ambiant (moyen) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,Livraison : Ambiant (moyen) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,0.884
Elément,40231,élément non décomposé,Facteur d'émission,Valide générique,Abricot,Apricot,dénoyauté,pitted,sec,dried,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Fruits, légumes, légumineuses et oléagineux > Fruits","Agribalyse,fruits,Abricot","Agribalyse,fruits,Apricot",kgCO2e/kg de poids net,kgCO2e/kg net weight,,,AGRIBALYSE 3.1,https://agribalyse.ademe.fr/app,Agribalyse 3.1,France continentale,2023-03-16,2024-05-17,24/02/2026,,5.0,2.6,4.0,,,,,,Livraison : Ambiant (moyen) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,Livraison : Ambiant (moyen) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,1.81
Elément,33036,élément non décomposé,Facteur d'émission,Archivé,Abricot,Apricot,"dénoyauté, cru","pitted, raw",,,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Fruits, légumes, légumineuses et oléagineux > Fruits","fruits crus,Agribalyse,fruits,légumes,Abricot,légumineuses et oléagineux","legumes and oilseeds,raw fruit,Agribalyse,fruits,Apricot,vegetables",kgCO2e/kg de poids net,kgCO2e/kg (net weight),,,AGRIBALYSE,https://app.agribalyse.fr/,https://ecolab.gitbook.io/documentation-agribalyse/,France continentale,2021-03-04,2024-05-17,31/12/2023,,5.0,,4.0,,,,,,,,0.862
Elément,33090,élément non décomposé,Facteur d'émission,Archivé,Abricot,Apricot,"dénoyauté, sec","pitted, dried",,,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Fruits, légumes, légumineuses et oléagineux > Fruits","fruits séchés,Agribalyse,fruits,légumes,Abricot,légumineuses et oléagineux","legumes and oilseeds,dried fruit,Agribalyse,fruits,Apricot,vegetables",kgCO2e/kg de poids net,kgCO2e/kg (net weight),,,AGRIBALYSE,https://app.agribalyse.fr/,https://ecolab.gitbook.io/documentation-agribalyse/,France continentale,2021-03-04,2024-05-17,31/12/2023,,5.0,,4.0,,,,,,,,2.65
Elément,40228,élément non décomposé,Facteur d'émission,Valide générique,Abricot au sirop,Apricot,appertisé,in syrup,égoutté,"canned, drained","Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Fruits, légumes, légumineuses et oléagineux > Fruits","Agribalyse,fruits,Abricot au sirop","Agribalyse,fruits,Apricot",kgCO2e/kg de poids net,kgCO2e/kg net weight,,,AGRIBALYSE 3.1,https://agribalyse.ademe.fr/app,Agribalyse 3.1,France continentale,2023-03-16,2024-05-17,24/02/2026,,5.0,2.5,4.0,,,,,,Livraison : Ambiant (long) - Matériau d'emballage : Acier - Préparation : Pas de préparation,Livraison : Ambiant (long) - Matériau d'emballage : Acier - Préparation : Pas de préparation,0.951
