Type Ligne,Identifiant de l'élément,Structure,Type de l'élément,Statut de l'élément,Nom base français,Nom base anglais,Nom base espagnol,Nom attribut français,Nom attribut anglais,Nom attribut espagnol,Nom frontière français,Nom frontière anglais,Code de la catégorie,Tags français,Tags anglais,Tags espagnol,Unité français,Unité anglais,Contributeur,Autres Contributeurs,Programme,Url du programme,Source,Localisation géographique,Sous-localisation géographique français,Sous-localisation géographique anglais,Sous-localisation géographique espagnol,Date de création,Date de modification,Période de validité,Incertitude,Réglementations,Transparence,Qualité,Qualité TeR,Qualité GR,Qualité TiR,Qualité C,Qualité P,Qualité M,Commentaire français,Commentaire anglais,Type poste,Nom poste français,Nom poste anglais,Nom poste espagnol,Total poste non décomposé,CO2f,CH4f,CH4b,N2O,Code gaz supplémentaire 1,Valeur gaz supplémentaire 1,Code gaz supplémentaire 2,Valeur gaz supplémentaire 2,Valeur gaz supplémentaire 3,Valeur gaz supplémentaire 4,Code gaz supplémentaire 5,Valeur gaz supplémentaire 5,Autres GES,CO2b
Elément,28559,élément non décomposé,Facteur d'émission,Archivé,Albacore,Albacore,,"biologique, système n ° 1",biological system n ° 1,,Sortie de bateau,At landing,Achats de biens > Produits de l'agriculture et de la pêche > Produits de la mer > Pêche,"Pêche,Poisson,Agribalyse,Albacore","Agribalyse,Albacore,Fishery,Albacore - NEA - Pelagic Trawl",,kgCO2e/kg de poids vif,kgCO2e/kg (live weight),,,AGRIBALYSE,https://app.agribalyse.fr/,https://ecolab.gitbook.io/documentation-agribalyse/,France continentale,,,,2020-12-04,2024-05-17,31/12/2023,,,5.0,,4.0,,,,,,,,,,,,4.25,,,,,,,,,,,,,,
Elément,28453,élément non décomposé,Facteur d'émission,Archivé,Algue,Seaweed,,"de l'association de cultures, biologique, système n ° 1","of the association of cultures, organic, system n ° 1",,Production optimisée,Optimized production,Achats de biens > Produits de l'agriculture et de la pêche > Produits de la mer > Aquaculture,"Agribalyse,Agriculture,Autre,Algue","Agribalyse,Agricultural,Other,Seaweed",,kgCO2e/kg de poids vif,kgCO2e/kg (live weight),,,AGRIBALYSE,https://app.agribalyse.fr/,https://ecolab.gitbook.io/documentation-agribalyse/,France continentale,,,,2020-12-04,2024-05-17,31/12/2023,,,5.0,,4.0,,,,,,,,,,,,0.106,,,,,,,,,,,,,,
Elément,28454,élément non décomposé,Facteur d'émission,Archivé,Algue,Seaweed,,"de l'association de cultures, biologique, système n ° 2","of the association of cultures, organic, system n ° 2",,Production non optimisée,Non-optimized production,Achats de biens > Produits de l'agriculture et de la pêche > Produits de la mer > Aquaculture,"Agribalyse,Agriculture,Autre,Algue","Agribalyse,Agricultural,Other,Seaweed",,kgCO2e/kg de poids vif,kgCO2e/kg (live weight),,,AGRIBALYSE,https://app.agribalyse.fr/,https://ecolab.gitbook.io/documentation-agribalyse/,France continentale,,,,2020-12-04,2024-05-17,31/12/2023,,,5.0,,4.0,,,,,,,,,,,,0.918,,,,,,,,,,,,,,
Elément,42032,élément non décomposé,Facteur d'émission,Valide générique,Algue production non optimisée,Seaweed non-optimized production,,1 kg d'algues (Laminaria),1kg algae (Laminaria),,poids frais/FR U,fresh weight/FR U,Achats de biens > Produits de l'agriculture et de la pêche > Produits végétaux > Autres produits végétaux,"Agribalyse,Algue production non optimisée","Agribalyse,Seaweed non-optimized production",,kgCO2e/kg de poids vif,kgCO2e/kg (live weight),,,AGRIBALYSE 3.1,https://agribalyse.ademe.fr/app,Agribalyse 3.1,France continentale,,,,2023-03-16,2023-03-16,24/02/2026,,,5.0,,4.0,,,,,,,,,,,,0.847,,,,,,,,,,,,,,
Elément,42033,élément non décomposé,Facteur d'émission,Valide générique,Algue production optimisée,Optimized seaweed production,,1 kg d'algues (Laminaria),1kg algae (Laminaria),,poids frais/FR U,fresh weight/FR U,Achats de biens > Produits de l'agriculture et de la pêche > Produits végétaux > Autres produits végétaux,"Agribalyse,Algue production optimisée","Agribalyse,Optimized seaweed production",,kgCO2e/kg,kgCO2e/kg,,,AGRIBALYSE 3.1,https://agribalyse.ademe.fr/app,Agribalyse 3.1,France continentale,,,,2023-03-16,2023-03-16,24/02/2026,,,5.0,,4.0,,,,,,,,,,,,0.101,,,,,,,,,,,,,,
Elément,42034,élément non décomposé,Facteur d'émission,Valide générique,Ananas,Pineapple,,la production mixte,mixed production,,"moyenne île de la Réunion, sur le site de production/RE U","Reunion Island average, at production site/RE U",Achats de biens > Produits de l'agriculture et de la pêche > Produits végétaux > Fruits,"Ananas,Agribalyse","Agribalyse,Pineapple",,kgCO2e/kg,kgCO2e/kg,,,AGRIBALYSE 3.1,https://agribalyse.ademe.fr/app,Agribalyse 3.1,France continentale,,,,2023-03-16,2023-03-16,24/02/2026,,,5.0,,4.0,,,,,,,,,,,,0.868,,,,,,,,,,,,,,
Elément,28430,élément non décomposé,Facteur d'émission,Archivé,Ananas,Pineapple,,"MedSea, palangre, moyenne","MedSea, longline, medium",,Sur le site de production,At production site,Achats de biens > Produits de l'agriculture et de la pêche > Produits végétaux > Fruits,"Ananas,Agribalyse,fruits,Agriculture","Agribalyse,fruits,Agricultural,Pineapple",,kgCO2e/kg,kgCO2e/kg,,,AGRIBALYSE,https://app.agribalyse.fr/,https://ecolab.gitbook.io/documentation-agribalyse/,France continentale,,,,2020-12-04,2024-05-17,31/12/2023,,,5.0,,4.0,,,,,,,,,,,,0.334,,,,,,,,,,,,,,
Elément,28563,élément non décomposé,Facteur d'émission,Archivé,Anchois européen,European anchovy,,"biologique, système n ° 1",biological system n ° 1,,Sortie de bateau,At landing,Achats de biens > Produits de l'agriculture et de la pêche > Produits de la mer > Pêche,"Pêche,Poisson,Agribalyse,Anchois européen","Agribalyse,Fishery,European Anchovy,European Anchovy - ECA - Seine",,kgCO2e/kg de poids vif,kgCO2e/kg (live weight),,,AGRIBALYSE,https://app.agribalyse.fr/,https://ecolab.gitbook.io/documentation-agribalyse/,France continentale,,,,2020-12-04,2024-05-17,31/12/2023,,,5.0,,4.0,,,,,,,,,,,,0.45,,,,,,,,,,,,,,
Elément,42035,élément non décomposé,Facteur d'émission,Valide générique,Anchois européenne,European Anchovy,,la CEA,ECA,,"la Seine, moyenne, au débarquement/MA U","Seine, average, at landing/MA U",Achats de biens > Produits de l'agriculture et de la pêche > Produits de la mer > Pêche,"Agribalyse,Anchois européenne","Agribalyse,European Anchovy",,kgCO2e/kg de poids vif,kgCO2e/kg (live weight),,,AGRIBALYSE 3.1,https://agribalyse.ademe.fr/app,Agribalyse 3.1,France continentale,,,,2023-03-16,2023-03-16,24/02/2026,,,5.0,,4.0,,,,,,,,,,,,0.443,,,,,,,,,,,,,,
Elément,28403,élément non décomposé,Facteur d'émission,Archivé,Arbuste Potted,Potted shrub,,"prairie permanente, avec trèfle, région du Nord-Ouest","permanent meadow, with clover, North West region",,,,Achats de biens > Produits de l'agriculture et de la pêche > Produits végétaux > Autres produits végétaux,"Agribalyse,Agriculture,Arbuste Potted,Fleurs et plantes ornementales","Agribalyse,Potted shrub,Agricultural,Flowers and ornament crops",,kgCO2e/kg,kgCO2e/kg,,,AGRIBALYSE,https://app.agribalyse.fr/,https://ecolab.gitbook.io/documentation-agribalyse/,France continentale,,,,2020-12-04,2024-05-17,31/12/2023,,,5.0,,4.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
Elément,28388,élément non décomposé,Facteur d'émission,Archivé,Avoine,Oats,,"conventionnel, moyenne nationale, pour alimentation animale","conventional, national average, for animal feed",,Sortie de ferme,At farm gate,Achats de biens > Produits de l'agriculture et de la pêche > Produits végétaux > Céréales,"Agribalyse,céréales,Agriculture,Avoine","Agribalyse,cereals,Agricultural,Oats",,kgCO2e/kg,kgCO2e/kg,,,AGRIBALYSE,https://app.agribalyse.fr/,https://ecolab.gitbook.io/documentation-agribalyse/,France continentale,,,,2020-12-04,2024-05-17,31/12/2023,,,5.0,,4.0,,,,,,,,,,,,0.368,,,,,,,,,,,,,,
Elément,42036,élément non décomposé,Facteur d'émission,Valide générique,Avoine,Oat grain,,moyenne nationale,national average,,"alimentation animale, à la ferme/FR U","animal feed, at farm gate/FR U",Achats de biens > Produits de l'agriculture et de la pêche > Produits végétaux > Céréales,"Agribalyse,Avoine","Agribalyse,Oat grain",,kgCO2e/kg,kgCO2e/kg,,,AGRIBALYSE 3.1,https://agribalyse.ademe.fr/app,Agribalyse 3.1,France continentale,,,,2023-03-16,2023-03-16,24/02/2026,,,5.0,,4.0,,,,,,,,,,,,0.549,,,,,,,,,,,,,,
Elément,42293,élément non décomposé,Facteur d'émission,Valide générique,Avoine d'hiver,Winter oat,,biologique,organic,,"système numéro 1, à la ferme/FR U","system number 1, at farm gate/FR U",Achats de biens > Produits de l'agriculture et de la pêche > Produits végétaux > Céréales,"Agribalyse,Avoine d'hiver","Agribalyse,Winter oat",,kgCO2e/kg,kgCO2e/kg,,,AGRIBALYSE 3.1,https://agribalyse.ademe.fr/app,Agribalyse 3.1,France continentale,,,,2023-03-16,2023-03-16,24/02/2026,,,5.0,,4.0,,,,,,,,,,,,0.519,,,,,,,,,,,,,,
Elément,28654,élément non décomposé,Facteur d'émission,Archivé,Avoine d'hiver,Winter oats,,"biologique, système n ° 8",biological system n ° 8,,Sortie de ferme,At farm gate,Achats de biens > Produits de l'agriculture et de la pêche > Produits végétaux > Céréales,"Agribalyse,céréales,Agriculture,Avoine d'hiver","Agribalyse,cereals,Agricultural,Winter oats",,kgCO2e/kg,kgCO2e/kg,,,AGRIBALYSE,https://app.agribalyse.fr/,https://ecolab.gitbook.io/documentation-agribalyse/,France continentale,,,,2020-12-04,2024-05-17,31/12/2023,,,5.0,,4.0,,,,,,,,,,,,0.336,,,,,,,,,,,,,,
Elément,42292,élément non décomposé,Facteur d'émission,Valide générique,Avoine de printemps,Spring oat grain,,biologique,organic,,à la ferme/FR U,at farm gate/FR U,Achats de biens > Produits de l'agriculture et de la pêche > Produits animaux > Porcins,"Agribalyse,Avoine de printemps","Agribalyse,Spring oat grain",,kgCO2e/kg de poids vif,kgCO2e/kg (live weight),,,AGRIBALYSE 3.1,https://agribalyse.ademe.fr/app,Agribalyse 3.1,France continentale,,,,2023-03-16,2023-03-16,24/02/2026,,,5.0,,4.0,,,,,,,,,,,,0.362,,,,,,,,,,,,,,
Elément,28637,élément non décomposé,Facteur d'émission,Archivé,Avoine de printemps,Spring oats,,"de l'association de cultures, biologique","combination of cultures, organic",,Sortie de ferme,At farm gate,Achats de biens > Produits de l'agriculture et de la pêche > Produits végétaux > Céréales,"Agribalyse,céréales,Agriculture,Avoine de printemps","Agribalyse,cereals,Agricultural,Spring oats",,kgCO2e/kg,kgCO2e/kg,,,AGRIBALYSE,https://app.agribalyse.fr/,https://ecolab.gitbook.io/documentation-agribalyse/,France continentale,,,,2020-12-04,2024-05-17,31/12/2023,,,5.0,,4.0,,,,,,,,,,,,0.216,,,,,,,,,,,,,,
Elément,28481,élément non décomposé,Facteur d'émission,Archivé,Ballot de Foin,Baled hay,,"de l'association de cultures, biologique, système n ° 1","of the association of cultures, organic, system n ° 1",,Au dispositif d'alimentation,At feeder,Achats de biens > Produits de l'agriculture et de la pêche > Produits végétaux > Légumineuses,"Agribalyse,Agriculture,fourrage,Ballot de foin","Agribalyse,Baled hay,Agricultural,Roughage",,kgCO2e/kg,kgCO2e/kg,,,AGRIBALYSE,https://app.agribalyse.fr/,https://ecolab.gitbook.io/documentation-agribalyse/,France continentale,,,,2020-12-04,2024-05-17,31/12/2023,,,5.0,,4.0,,,,,,,,,,,,0.196,,,,,,,,,,,,,,
Elément,28474,élément non décomposé,Facteur d'émission,Archivé,Ballot de Foin,Baled hay,,"de l'association de cultures, biologique, système n ° 1","of the association of cultures, organic, system n ° 1",,Sortie de ferme,At farm gate,Achats de biens > Produits de l'agriculture et de la pêche > Produits végétaux > Légumineuses,"Agribalyse,Agriculture,fourrage,Ballot de foin","Agribalyse,Baled hay,Agricultural,Roughage",,kgCO2e/kg,kgCO2e/kg,,,AGRIBALYSE,https://app.agribalyse.fr/,https://ecolab.gitbook.io/documentation-agribalyse/,France continentale,,,,2020-12-04,2024-05-17,31/12/2023,,,5.0,,4.0,,,,,,,,,,,,0.231,,,,,,,,,,,,,,
Elément,28476,élément non décomposé,Facteur d'émission,Archivé,Ballot de Foin,Baled hay,,"de l'association de cultures, biologique, système n ° 1","of the association of cultures, organic, system n ° 1",,Sortie de ferme,At farm gate,Achats de biens > Produits de l'agriculture et de la pêche > Produits végétaux > Légumineuses,"Agribalyse,Agriculture,fourrage,Ballot de foin","Agribalyse,Baled hay,Agricultural,Roughage",,kgCO2e/kg,kgCO2e/kg,,,AGRIBALYSE,https://app.agribalyse.fr/,https://ecolab.gitbook.io/documentation-agribalyse/,France continentale,,,,2020-12-04,2024-05-17,31/12/2023,,,5.0,,4.0,,,,,,,,,,,,0.184,,,,,,,,,,,,,,
Elément,28478,élément non décomposé,Facteur d'émission,Archivé,Ballot de Foin,Baled hay,,"de l'association de cultures, biologique, système n ° 1","of the association of cultures, organic, system n ° 1",,Sortie de ferme,At farm gate,Achats de biens > Produits de l'agriculture et de la pêche > Produits végétaux > Légumineuses,"Agribalyse,Agriculture,fourrage,Ballot de foin","Agribalyse,Baled hay,Agricultural,Roughage",,kgCO2e/kg,kgCO2e/kg,,,AGRIBALYSE,https://app.agribalyse.fr/,https://ecolab.gitbook.io/documentation-agribalyse/,France continentale,,,,2020-12-04,2024-05-17,31/12/2023,,,5.0,,4.0,,,,,,,,,,,,0.253,,,,,,,,,,,,,,
Elément,28475,élément non décomposé,Facteur d'émission,Archivé,Ballot de Foin,Baled hay,,"de l'association de cultures, biologique, système n ° 2","of the association of cultures, organic, system n ° 2",,Au dispositif d'alimentation,At feeder,Achats de biens > Produits de l'agriculture et de la pêche > Produits végétaux > Légumineuses,"Agribalyse,Agriculture,fourrage,Ballot de foin","Agribalyse,Baled hay,Agricultural,Roughage",,kgCO2e/kg,kgCO2e/kg,,,AGRIBALYSE,https://app.agribalyse.fr/,https://ecolab.gitbook.io/documentation-agribalyse/,France continentale,,,,2020-12-04,2024-05-17,31/12/2023,,,5.0,,4.0,,,,,,,,,,,,0.253,,,,,,,,,,,,,,
Elément,28477,élément non décomposé,Facteur d'émission,Archivé,Ballot de Foin,Baled hay,,"de l'association de cultures, biologique, système n ° 2","of the association of cultures, organic, system n ° 2",,Au dispositif d'alimentation,At feeder,Achats de biens > Produits de l'agriculture et de la pêche > Produits végétaux > Légumineuses,"Agribalyse,Agriculture,fourrage,Ballot de foin","Agribalyse,Baled hay,Agricultural,Roughage",,kgCO2e/kg,kgCO2e/kg,,,AGRIBALYSE,https://app.agribalyse.fr/,https://ecolab.gitbook.io/documentation-agribalyse/,France continentale,,,,2020-12-04,2024-05-17,31/12/2023,,,5.0,,4.0,,,,,,,,,,,,0.2,,,,,,,,,,,,,,
Elément,28479,élément non décomposé,Facteur d'émission,Archivé,Ballot de Foin,Baled hay,,"de l'association de cultures, biologique, système n ° 2","of the association of cultures, organic, system n ° 2",,Au dispositif d'alimentation,At feeder,Achats de biens > Produits de l'agriculture et de la pêche > Produits végétaux > Légumineuses,"Agribalyse,Agriculture,fourrage,Ballot de foin","Agribalyse,Baled hay,Agricultural,Roughage",,kgCO2e/kg,kgCO2e/kg,,,AGRIBALYSE,https://app.agribalyse.fr/,https://ecolab.gitbook.io/documentation-agribalyse/,France continentale,,,,2020-12-04,2024-05-17,31/12/2023,,,5.0,,4.0,,,,,,,,,,,,0.276,,,,,,,,,,,,,,
Elément,28482,élément non décomposé,Facteur d'émission,Archivé,Ballot de Foin,Baled hay,,"de l'association de cultures, biologique, système n ° 2","of the association of cultures, organic, system n ° 2",,Sortie de ferme,At farm gate,Achats de biens > Produits de l'agriculture et de la pêche > Produits végétaux > Légumineuses,"Agribalyse,Agriculture,fourrage,Ballot de foin","Agribalyse,Baled hay,Agricultural,Roughage",,kgCO2e/kg,kgCO2e/kg,,,AGRIBALYSE,https://app.agribalyse.fr/,https://ecolab.gitbook.io/documentation-agribalyse/,France continentale,,,,2020-12-04,2024-05-17,31/12/2023,,,5.0,,4.0,,,,,,,,,,,,0.211,,,,,,,,,,,,,,
Elément,28483,élément non décomposé,Facteur d'émission,Archivé,Ballot de Foin,Baled hay,,"de l'association de cultures, biologique, système n ° 3","of the association of cultures, organic, system n ° 3",,Au dispositif d'alimentation,At feeder,Achats de biens > Produits de l'agriculture et de la pêche > Produits végétaux > Légumineuses,"Agribalyse,Agriculture,fourrage,Ballot de foin","Agribalyse,Baled hay,Agricultural,Roughage",,kgCO2e/kg,kgCO2e/kg,,,AGRIBALYSE,https://app.agribalyse.fr/,https://ecolab.gitbook.io/documentation-agribalyse/,France continentale,,,,2020-12-04,2024-05-17,31/12/2023,,,5.0,,4.0,,,,,,,,,,,,0.23,,,,,,,,,,,,,,
Elément,28480,élément non décomposé,Facteur d'émission,Archivé,Ballot de Foin,Baled hay,,"de l'association de cultures, biologique, système n ° 3","of the association of cultures, organic, system n ° 3",,Sortie de ferme,At farm gate,Achats de biens > Produits de l'agriculture et de la pêche > Produits végétaux > Légumineuses,"Agribalyse,Agriculture,fourrage,Ballot de foin","Agribalyse,Baled hay,Agricultural,Roughage",,kgCO2e/kg,kgCO2e/kg,,,AGRIBALYSE,https://app.agribalyse.fr/,https://ecolab.gitbook.io/documentation-agribalyse/,France continentale,,,,2020-12-04,2024-05-17,31/12/2023,,,5.0,,4.0,,,,,,,,,,,,0.179,,,,,,,,,,,,,,
Elément,42294,élément non décomposé,Facteur d'émission,Valide générique,Ballot de foin,Baled hay,,prairie permanente,permanent meadow,,"biologique, système numéro 1, à la ferme/FR U","organic, system number 1, at farm gate/FR U",Achats de biens > Produits de l'agriculture et de la pêche > Produits végétaux > Fourrage,"Agribalyse,Ballot de foin","Agribalyse,Baled hay",,kgCO2e/kg,kgCO2e/kg,,,AGRIBALYSE 3.1,https://agribalyse.ademe.fr/app,Agribalyse 3.1,France continentale,,,,2023-03-16,2023-03-16,24/02/2026,,,5.0,,4.0,,,,,,,,,,,,0.109,,,,,,,,,,,,,,
Elément,42295,élément non décomposé,Facteur d'émission,Valide générique,Ballot de foin,Baled hay,,prairie permanente,permanent meadow,,"biologique, système numéro 2, à la ferme/FR U","organic, system number 2, at farm gate/FR U",Achats de biens > Produits de l'agriculture et de la pêche > Produits végétaux > Fourrage,"Agribalyse,Ballot de foin","Agribalyse,Baled hay",,kgCO2e/kg,kgCO2e/kg,,,AGRIBALYSE 3.1,https://agribalyse.ademe.fr/app,Agribalyse 3.1,France continentale,,,,2023-03-16,2023-03-16,24/02/2026,,,5.0,,4.0,,,,,,,,,,,,0.091,,,,,,,,,,,,,,
Elément,42296,élément non décomposé,Facteur d'émission,Valide générique,Ballot de foin,Baled hay,,prairie permanente,permanent meadow,,"biologique, système numéro 3, à la ferme/FR U","organic, system number 3, at farm gate/FR U",Achats de biens > Produits de l'agriculture et de la pêche > Produits végétaux > Fourrage,"Agribalyse,Ballot de foin","Agribalyse,Baled hay",,kgCO2e/kg,kgCO2e/kg,,,AGRIBALYSE 3.1,https://agribalyse.ademe.fr/app,Agribalyse 3.1,France continentale,,,,2023-03-16,2023-03-16,24/02/2026,,,5.0,,4.0,,,,,,,,,,,,0.0907,,,,,,,,,,,,,,
Elément,42297,élément non décomposé,Facteur d'émission,Valide générique,Ballot de foin,Baled hay,,prairie permanente,permanent meadow,,"biologique, système numéro 4, à la ferme/FR U","organic, system number 4, at farm gate/FR U",Achats de biens > Produits de l'agriculture et de la pêche > Produits végétaux > Fourrage,"Agribalyse,Ballot de foin","Agribalyse,Baled hay",,kgCO2e/kg,kgCO2e/kg,,,AGRIBALYSE 3.1,https://agribalyse.ademe.fr/app,Agribalyse 3.1,France continentale,,,,2023-03-16,2023-03-16,24/02/2026,,,5.0,,4.0,,,,,,,,,,,,0.00317,,,,,,,,,,,,,,
Elément,42298,élément non décomposé,Facteur d'émission,Valide générique,Ballot de foin,Baled hay,,prairie permanente,permanent meadow,,"biologique, système numéro 5, à la ferme/FR U","organic, system number 5, at farm gate/FR U",Achats de biens > Produits de l'agriculture et de la pêche > Produits végétaux > Fourrage,"Agribalyse,Ballot de foin","Agribalyse,Baled hay",,kgCO2e/kg,kgCO2e/kg,,,AGRIBALYSE 3.1,https://agribalyse.ademe.fr/app,Agribalyse 3.1,France continentale,,,,2023-03-16,2023-03-16,24/02/2026,,,5.0,,4.0,,,,,,,,,,,,0.0451,,,,,,,,,,,,,,
