Identifiant de l'élément,Nom base français,Nom base anglais,Nom attribut français,Nom attribut anglais,Nom frontière français,Nom frontière anglais,Code de la catégorie,Tags français,Tags anglais,Unité français,Unité anglais,Source,Date de création,Date de modification,Période de validité,Incertitude,Transparence,Qualité,Qualité TeR,Qualité GR,Qualité TiR,Qualité C,Qualité P,Qualité M,Commentaire français,Commentaire anglais,Total poste non décomposé
41168,"""""""Goûter sec fourré (""""""""sandwiché"""""""") parfum fruits""""""",Biscuit (cookie),,snack with fruits filling,,,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits","céréales de petit-déjeuner et biscuits,""""""Agribalyse,Goûter sec fourré (""""""""sandwiché"""""""") parfum fruits""""""","Agribalyse,Biscuit (cookie),céréales de petit-déjeuner et biscuits",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.5,4.0,,,,,,Livraison : Ambiant (long) - Matériau d'emballage : Carton - Préparation : Pas de préparation,Livraison : Ambiant (long) - Matériau d'emballage : Carton - Préparation : Pas de préparation,2.29
41169,"""""""Goûter sec fourré (""""""""sandwiché"""""""") parfum lait ou vanille""""""",Biscuit (cookie),,snack with dairy or vanilla filling,,,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Produits céréaliers > Céréales de petit-déjeuner et biscuits","céréales de petit-déjeuner et biscuits,""""""Agribalyse,Goûter sec fourré (""""""""sandwiché"""""""") parfum lait ou vanille""""""","Agribalyse,Biscuit (cookie),céréales de petit-déjeuner et biscuits",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.4,4.0,,,,,,Livraison : Ambiant (long) - Matériau d'emballage : Carton - Préparation : Pas de préparation,Livraison : Ambiant (long) - Matériau d'emballage : Carton - Préparation : Pas de préparation,5.92
40414,"""""""Haricot mungo germé ou pousse de """"""""soja""""""""""""""",Mung bean,appertisé,sprouted or soy spouts,égoutté,"canned, drained","Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Fruits, légumes, légumineuses et oléagineux > Légumes","""légumes,""""Agribalyse,Haricot mungo germé ou pousse de """"""""soja""""""""""""""","Agribalyse,légumes,Mung bean",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.8,4.0,,,,,,Livraison : Ambiant (long) - Matériau d'emballage : Acier - Préparation : Pas de préparation,Livraison : Ambiant (long) - Matériau d'emballage : Acier - Préparation : Pas de préparation,1.65
40415,"""""""Haricot mungo germé ou pousse de """"""""soja""""""""""""""",Mung bean,cru,sprouted or soy spouts,,raw,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Fruits, légumes, légumineuses et oléagineux > Légumes","""légumes,""""Agribalyse,Haricot mungo germé ou pousse de """"""""soja""""""""""""""","Agribalyse,légumes,Mung bean",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.7,4.0,,,,,,Livraison : Ambiant (moyen) - Matériau d'emballage : Pas d'emballage - Préparation : Pas de préparation,Livraison : Ambiant (moyen) - Matériau d'emballage : Pas d'emballage - Préparation : Pas de préparation,0.771
40089,"""""""Poêlée de légumes assaisonnés aux champignons (""""""""champêtre"""""""")""""""",Vegetables pan-fried with mushrooms (country-style),surgelée,frozen,,,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Entrées et plats composés > Plats composés","plats composés,""""""Agribalyse,Poêlée de légumes assaisonnés aux champignons (""""""""champêtre"""""""")""""""","Agribalyse,plats composés,Vegetables pan-fried with mushrooms (country-style)",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,3.2,4.0,,,,,,Livraison : Congelé - Matériau d'emballage : LDPE - Préparation : Micro-onde,Livraison : Congelé - Matériau d'emballage : LDPE - Préparation : Micro-onde,1.19
40677,Abondance,Abondance cheese,,from cow's milk,,,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Lait et produits laitiers > Fromages","Agribalyse,Abondance,fromages","Agribalyse,Abondance cheese,fromages",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.2,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : LDPE - Préparation : Pas de préparation,Livraison : Glacé - Matériau d'emballage : LDPE - Préparation : Pas de préparation,6.19
40230,Abricot,Apricot,dénoyauté,pitted,cru,raw,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Fruits, légumes, légumineuses et oléagineux > Fruits","Agribalyse,fruits,Abricot","Agribalyse,fruits,Apricot",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.2,4.0,,,,,,Livraison : Ambiant (moyen) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,Livraison : Ambiant (moyen) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,0.884
40231,Abricot,Apricot,dénoyauté,pitted,sec,dried,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Fruits, légumes, légumineuses et oléagineux > Fruits","Agribalyse,fruits,Abricot","Agribalyse,fruits,Apricot",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.6,4.0,,,,,,Livraison : Ambiant (moyen) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,Livraison : Ambiant (moyen) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,1.81
40228,Abricot au sirop,Apricot,appertisé,in syrup,égoutté,"canned, drained","Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Fruits, légumes, légumineuses et oléagineux > Fruits","Agribalyse,fruits,Abricot au sirop","Agribalyse,fruits,Apricot",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.5,4.0,,,,,,Livraison : Ambiant (long) - Matériau d'emballage : Acier - Préparation : Pas de préparation,Livraison : Ambiant (long) - Matériau d'emballage : Acier - Préparation : Pas de préparation,0.951
40229,Abricot au sirop,Apricot,appertisé,in syrup,non égoutté,"canned, not drained","Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Fruits, légumes, légumineuses et oléagineux > Fruits","Agribalyse,fruits,Abricot au sirop","Agribalyse,fruits,Apricot",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.4,4.0,,,,,,Livraison : Ambiant (long) - Matériau d'emballage : Acier - Préparation : Pas de préparation,Livraison : Ambiant (long) - Matériau d'emballage : Acier - Préparation : Pas de préparation,0.551
40226,Abricot au sirop léger,Apricot,appertisé,canned in light syrup,égoutté,drained,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Fruits, légumes, légumineuses et oléagineux > Fruits","Agribalyse,fruits,Abricot au sirop léger","Agribalyse,fruits,Apricot",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.5,4.0,,,,,,Livraison : Ambiant (long) - Matériau d'emballage : Acier - Préparation : Pas de préparation,Livraison : Ambiant (long) - Matériau d'emballage : Acier - Préparation : Pas de préparation,0.936
40227,Abricot au sirop léger,Apricot,appertisé,canned in light syrup,non égoutté,not drained,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Fruits, légumes, légumineuses et oléagineux > Fruits","Agribalyse,fruits,Abricot au sirop léger","Agribalyse,fruits,Apricot",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.5,4.0,,,,,,Livraison : Ambiant (long) - Matériau d'emballage : Acier - Préparation : Pas de préparation,Livraison : Ambiant (long) - Matériau d'emballage : Acier - Préparation : Pas de préparation,0.551
41385,Accra de poisson,Caribbean-style fish fritters,,fish acras,,,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Produits à base de poissons et produits de la mer","Agribalyse,Accra de poisson,produits à base de poissons et produits de la mer","Agribalyse,Caribbean-style fish fritters,produits à base de poissons et produits de la mer",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,3.1,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Four,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Four,5.34
39594,Agar (algue),Seaweed,cru,agar,,raw,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Aides culinaires et ingrédients divers > Algues","Agribalyse,algues,Agar (algue)","Agribalyse,Seaweed,algues",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,3.0,4.0,,,,,,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation,6.77
42289,Agneau,Lamb,biologique,organic,"système numéro 1, à la ferme/FR U","system number 1, at farm gate/FR U",Achats de biens > Produits de l'agriculture et de la pêche > Produits animaux > Ovins,"Agneau,Agribalyse","Agribalyse,Lamb",kgCO2e/kg de poids vif,kgCO2e/kg (live weight),Agribalyse 3.1,2023-03-16,2023-03-16,24/02/2026,,5.0,,4.0,,,,,,,,12.6
42290,Agneau,Lamb,biologique,organic,"système numéro 2, à la ferme/FR U","system number 2, at farm gate/FR U",Achats de biens > Produits de l'agriculture et de la pêche > Produits animaux > Ovins,"Agneau,Agribalyse","Agribalyse,Lamb",kgCO2e/kg de poids vif,kgCO2e/kg (live weight),Agribalyse 3.1,2023-03-16,2023-03-16,24/02/2026,,5.0,,4.0,,,,,,,,9.16
42291,Agneau,Lamb,biologique,organic,"système numéro 3, à la ferme/FR U","system number 3, at farm gate/FR U",Achats de biens > Produits de l'agriculture et de la pêche > Produits animaux > Ovins,"Agneau,Agribalyse","Agribalyse,Lamb",kgCO2e/kg de poids vif,kgCO2e/kg (live weight),Agribalyse 3.1,2023-03-16,2023-03-16,24/02/2026,,5.0,,4.0,,,,,,,,15.1
41386,Agneau,Lamb,collier,neck,braisé ou bouilli,braised or boiled,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Viandes crues","Agneau,Agribalyse,viandes cuites","Agribalyse,Lamb,viandes cuites",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.7,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Four,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Four,52.2
41387,Agneau,Lamb,collier,neck,cru,raw,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Viandes crues","Agneau,Agribalyse,viandes crues","Agribalyse,Lamb,viandes crues",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.6,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation,41.3
42031,Agneau,Lamb,conventionnel,conventional,"système Roquefort, à la ferme/FR U","Roquefort system, at farm gate/FR U",Achats de biens > Produits de l'agriculture et de la pêche > Produits animaux > Ovins,"Agneau,Agribalyse","Agribalyse,Lamb",kgCO2e/kg de poids vif,kgCO2e/kg (live weight),Agribalyse 3.1,2023-03-16,2023-03-16,24/02/2026,,5.0,,4.0,,,,,,,,4.34
41388,Agneau,Lamb,côte filet,chop fillet,crue,raw,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Viandes crues","Agneau,Agribalyse,viandes crues","Agribalyse,Lamb,viandes crues",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.6,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation,41.3
41389,Agneau,Lamb,côte filet,chop fillet,grillée/poêlée,grilled/pan-fried,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Viandes crues","Agneau,Agribalyse,viandes cuites","Agribalyse,Lamb,viandes cuites",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.7,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Poêle,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Poêle,52.2
41390,Agneau,Lamb,côte première,rib chop,crue,raw,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Viandes crues","Agneau,Agribalyse,viandes crues","Agribalyse,Lamb,viandes crues",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.6,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation,41.3
41391,Agneau,Lamb,côte première,rib chop,grillée/poêlée,grilled/pan-fried,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Viandes crues","Agneau,Agribalyse,viandes cuites","Agribalyse,Lamb,viandes cuites",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.7,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Poêle,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Poêle,52.2
41392,Agneau,Lamb,côtelette,cutlet,crue,raw,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Viandes crues","Agneau,Agribalyse,viandes crues","Agribalyse,Lamb,viandes crues",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.6,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation,41.3
41393,Agneau,Lamb cutlet,côtelette,grilled,grillée,,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Viandes crues","Agneau,Agribalyse,viandes cuites","Agribalyse,Lamb cutlet,viandes cuites",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.7,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Poêle,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Poêle,52.2
41394,Agneau,Lamb,épaule,shoulder,crue,raw,"Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Viandes crues","Agneau,Agribalyse,viandes crues","Agribalyse,Lamb,viandes crues",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.6,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation,33.0
41395,Agneau,Lamb,épaule,shoulder,"maigre, crue","lean, raw","Achats de biens > Produits agro-alimentaires, plats préparés et boissons > Viandes, oeufs, poissons > Viandes crues","Agneau,Agribalyse,viandes crues","Agribalyse,Lamb,viandes crues",kgCO2e/kg de poids net,kgCO2e/kg net weight,Agribalyse 3.1,2023-03-16,2024-05-17,24/02/2026,,5.0,2.6,4.0,,,,,,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation,Livraison : Glacé - Matériau d'emballage : PS - Préparation : Pas de préparation,33.0
